volume,chapter,region,kingdom_folder,kingdom_name,main_character,main_villain,kannada_story_file,english_story_file,kannada_audio_file,english_audio_file,media_kingdoms_folder,hero_image_name,villain_image_name,kingdom_dir,kingdom_dir_exists,stories_dir,story_count,story_names,tattoo_dir,tattoo_count,tattoo_files,emblem_dir,emblem_count,emblem_files,kingdoms_dir,kingdoms_count,kingdoms_files,portraits_dir,portraits_count,portraits_files,vehicles_dir,vehicles_count,vehicles_files,weapons_dir,weapons_count,weapons_files
Volume I - Maha Parva,Chapter 1 - Rise of Legends,north,kurukshetra-bhoomi,Kurukshetra-Bhoomi — The Sacred Battleground,Kurukshetraa,Kuru-Bhasma,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/kurukshetra-bhoomi/stories/the-field-that-never-forgets/story.md,audio/kannada/chapter-1-rise-of-legends__kurukshetra-bhoomi__the-field-that-never-forgets.kn.mp3,audio/chapter-1-rise-of-legends__kurukshetra-bhoomi__the-field-that-never-forgets.m4a,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/kurukshetra-bhoomi/media/kingdoms,16-kurukshetra-bhoomi_hero_kurukshetraa.png,16-kurukshetra-bhoomi_villain_kali_yoddha.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/kurukshetra-bhoomi,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/kurukshetra-bhoomi/stories,1,the-field-that-never-forgets,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/kurukshetra-bhoomi/media/tattoo,4,haryana-tattoo-stage-1-footprint.png; haryana-tattoo-stage-2-leg.png; haryana-tattoo-stage-3-half-body.png; haryana-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/kurukshetra-bhoomi/media/emblem,2,haryana-kurukshetra-bhoomi-emblem.png; kurukshetra-reborn-royal-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/kurukshetra-bhoomi/media/kingdoms,11,16-kurukshetra-bhoomi_ally_bhishma_shadow.png; 16-kurukshetra-bhoomi_animal_black_francolin.png; 16-kurukshetra-bhoomi_animal_blackbuck_kurukshetra.png; 16-kurukshetra-bhoomi_environment_dawn_fields_debate_ground.png; 16-kurukshetra-bhoomi_environment_kurukshetra_eternal_field.png; 16-kurukshetra-bhoomi_hero_kurukshetraa.png; 16-kurukshetra-bhoomi_hero_kurukshetraa__born_in_the_crater.png; 16-kurukshetra-bhoomi_scene_scene_the_battle_of_dawn_words.png; 16-kurukshetra-bhoomi_scene_scene_the_shovel_that_shouted.png; 16-kurukshetra-bhoomi_villain_kali_yoddha.png; 16-kurukshetra-bhoomi_weapon_bhumi_garjana_mace.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/kurukshetra-bhoomi/media/portraits,1,kurukshetra-reborn-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/kurukshetra-bhoomi/media/vehicles,2,haryana-vehicle-bhumi-ratha-ancient.png; haryana-vehicle-bhumi-ratha-mk-ii-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/kurukshetra-bhoomi/media/weapons,2,haryana-weapon-bhoomi-danda-the-earth-ancient.png; haryana-weapon-bhoomi-shakti-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,north,panch-nada,Panch-Nada — The Five River Throne,Panchanada,Panchavish,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/panch-nada/stories/the-man-who-could-not-lose/story.md,audio/kannada/chapter-1-rise-of-legends__panch-nada__the-man-who-could-not-lose.kn.mp3,audio/chapter-1-rise-of-legends__panch-nada__the-man-who-could-not-lose.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/panch-nada,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/panch-nada/stories,1,the-man-who-could-not-lose,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/panch-nada/media/tattoo,4,punjab-tattoo-stage-1-footprint.png; punjab-tattoo-stage-2-leg.png; punjab-tattoo-stage-3-half-body.png; punjab-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/panch-nada/media/emblem,2,panj-nadi-royal-emblem.png; punjab-panch-nada-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/panch-nada/media/kingdoms,12,17-panch-nada_ally_panchanadas_unmarked_son.png; 17-panch-nada_animal_northern_goshawk.png; 17-panch-nada_environment_punjab_wheat_and_gurdwara.png; 17-panch-nada_environment_the_langar_hall.png; 17-panch-nada_hero_panchanada.png; 17-panch-nada_hero_panchanada__turban_removed_langar.png; 17-panch-nada_scene_scene_battle_of_the_five_blades.png; 17-panch-nada_scene_scene_the_bowl_of_dal.png; 17-panch-nada_villain_durjaya_singh.png; 17-panch-nada_villain_durjaya_singh__tornado_of_five_blades.png; 17-panch-nada_weapon_chakram_and_kirpan.png; 17-panch-nada_weapon_five_river_swords.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/panch-nada/media/portraits,1,panj-nadi-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/panch-nada/media/vehicles,2,punjab-vehicle-panch-ratha-ancient.png; punjab-vehicle-panch-vahana-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/panch-nada/media/weapons,2,punjab-weapon-panch-nada-ancient.png; punjab-weapon-panch-shakti-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,north,sharada-pitha,Sharada-Pitha — The Seat of Sharada,Sharad-Pandit,Avantivarman-Bhrasta,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/sharada-pitha/stories/the-snow-library/story.md,audio/kannada/chapter-1-rise-of-legends__sharada-pitha__the-snow-library.kn.mp3,audio/chapter-1-rise-of-legends__sharada-pitha__the-snow-library.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/sharada-pitha,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/sharada-pitha/stories,1,the-snow-library,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/sharada-pitha/media/tattoo,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/sharada-pitha/media/emblem,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/sharada-pitha/media/kingdoms,13,18-sharada-pitha_ally_lalleshwari_verse_mystic.png; 18-sharada-pitha_ally_the_ten_thousand_reciters.png; 18-sharada-pitha_animal_black_necked_crane.png; 18-sharada-pitha_animal_hangul_kashmir_stag.png; 18-sharada-pitha_environment_dal_lake_houseboat_library.png; 18-sharada-pitha_environment_sharada_pitha_temple_pass.png; 18-sharada-pitha_hero_sharad_pandit.png; 18-sharada-pitha_hero_sharad_pandit__scroll_shield_raised.png; 18-sharada-pitha_relic_sharada_founding_scroll.png; 18-sharada-pitha_scene_scene_read_it_aloud.png; 18-sharada-pitha_scene_scene_the_march_across_the_passes.png; 18-sharada-pitha_villain_avantivarman_bhrasta.png; 18-sharada-pitha_villain_avantivarman_bhrasta__weeping_reader.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/sharada-pitha/media/portraits,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/sharada-pitha/media/vehicles,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/sharada-pitha/media/weapons,0,
Volume I - Maha Parva,Chapter 1 - Rise of Legends,northeast,arunodaya-kshetra,Arunodaya-Kshetra — The Land of the Dawn,Udayagiri,Asta-Asura,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/arunodaya-kshetra/stories/the-war-between-dawn-and-night/story.md,audio/kannada/chapter-1-rise-of-legends__arunodaya-kshetra__the-war-between-dawn-and-night.kn.mp3,audio/chapter-1-rise-of-legends__arunodaya-kshetra__the-war-between-dawn-and-night.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/arunodaya-kshetra,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/arunodaya-kshetra/stories,1,the-war-between-dawn-and-night,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/arunodaya-kshetra/media/tattoo,4,arunachal-pradesh-tattoo-stage-1-footprint.png; arunachal-pradesh-tattoo-stage-2-leg.png; arunachal-pradesh-tattoo-stage-3-half-body.png; arunachal-pradesh-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/arunodaya-kshetra/media/emblem,2,arunachal-pradesh-arunodaya-kshetra-emblem.png; arunodaya-royal-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/arunodaya-kshetra/media/kingdoms,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/arunodaya-kshetra/media/portraits,1,arunodaya-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/arunodaya-kshetra/media/vehicles,2,arunachal-pradesh-vehicle-surya-ratha-ancient.png; arunachal-pradesh-vehicle-surya-vega-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/arunodaya-kshetra/media/weapons,2,arunachal-pradesh-weapon-surya-dhanu-ancient.png; arunachal-pradesh-weapon-surya-vega-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,northeast,beyul-kshetra,Beyul-Kshetra — The Hidden Sacred Land,Kanchenjunga,Krodha,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/beyul-kshetra/stories/the-monk-the-mountain-and-the-thief/story.md,audio/kannada/chapter-1-rise-of-legends__beyul-kshetra__the-monk-the-mountain-and-the-thief.kn.mp3,audio/chapter-1-rise-of-legends__beyul-kshetra__the-monk-the-mountain-and-the-thief.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/beyul-kshetra,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/beyul-kshetra/stories,1,the-monk-the-mountain-and-the-thief,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/beyul-kshetra/media/tattoo,4,sikkim-tattoo-stage-1-footprint.png; sikkim-tattoo-stage-2-leg.png; sikkim-tattoo-stage-3-half-body.png; sikkim-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/beyul-kshetra/media/emblem,2,denzong-royal-emblem.png; sikkim-beyul-kshetra-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/beyul-kshetra/media/kingdoms,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/beyul-kshetra/media/portraits,1,denzong-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/beyul-kshetra/media/vehicles,2,sikkim-vehicle-beyul-vahana-ancient.png; sikkim-vehicle-beyul-vahana-mk-ii-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/beyul-kshetra/media/weapons,2,sikkim-weapon-beyul-kila-ancient.png; sikkim-weapon-beyul-kila-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,northeast,dzukou-rashtra,Dzukou-Rashtra — The Valley Kingdom,Dzulevira,Naga-Rakshasa,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/dzukou-rashtra/stories/the-dao-and-the-dream/story.md,audio/kannada/chapter-1-rise-of-legends__dzukou-rashtra__the-dao-and-the-dream.kn.mp3,audio/chapter-1-rise-of-legends__dzukou-rashtra__the-dao-and-the-dream.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/dzukou-rashtra,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/dzukou-rashtra/stories,1,the-dao-and-the-dream,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/dzukou-rashtra/media/tattoo,4,nagaland-tattoo-stage-1-footprint.png; nagaland-tattoo-stage-2-leg.png; nagaland-tattoo-stage-3-half-body.png; nagaland-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/dzukou-rashtra/media/emblem,2,naga-kendra-royal-emblem.png; nagaland-dzukou-rashtra-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/dzukou-rashtra/media/kingdoms,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/dzukou-rashtra/media/portraits,1,naga-kendra-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/dzukou-rashtra/media/vehicles,2,nagaland-vehicle-dzukou-ratha-modern.png; nagaland-vehicle-dzukou-vahana-ancient.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/dzukou-rashtra/media/weapons,2,nagaland-weapon-dzukou-dao-ancient.png; nagaland-weapon-dzukou-vega-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,northeast,ganda-kshetra,Ganda-Kshetra — The Rhinoceros Realm,Kamalavarna,Kama-Mara,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/ganda-kshetra/stories/rhino-knight.html,audio/kannada/chapter-1-rise-of-legends__ganda-kshetra__rhino-knight.kn.mp3,audio/chapter-1-rise-of-legends__ganda-kshetra__rhino-knight.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/ganda-kshetra,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/ganda-kshetra/stories,1,rhino-knight,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/ganda-kshetra/media/tattoo,4,assam-tattoo-stage-1-footprint.png; assam-tattoo-stage-2-leg.png; assam-tattoo-stage-3-half-body.png; assam-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/ganda-kshetra/media/emblem,2,assam-ganda-kshetra-emblem.png; kamakhya-durg-royal-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/ganda-kshetra/media/kingdoms,12,26-ganda-kshetra_ally_bihu_drummer_militia.png; 26-ganda-kshetra_ally_mahout_of_kaziranga.png; 26-ganda-kshetra_animal_bengal_florican.png; 26-ganda-kshetra_animal_one_horned_rhinoceros.png; 26-ganda-kshetra_environment_kamakhya_temple_on_the_hill.png; 26-ganda-kshetra_environment_kaziranga_grassland_floodplain.png; 26-ganda-kshetra_hero_gandaki_horn_guardian.png; 26-ganda-kshetra_hero_gandaki_horn_guardian__flood_stand_finale.png; 26-ganda-kshetra_scene_scene_the_horn_holds_the_line.png; 26-ganda-kshetra_scene_scene_the_river_rises.png; 26-ganda-kshetra_villain_pralaya_naga_flood_serpent.png; 26-ganda-kshetra_weapon_horn_tipped_spear.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/ganda-kshetra/media/portraits,2,assam-hero-portrait.png; kamakhya-durg-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/ganda-kshetra/media/vehicles,2,assam-vehicle-ganda-ratha-modern.png; assam-vehicle-ganda-vahana-ancient.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/ganda-kshetra/media/weapons,2,assam-weapon-ganda-kavach-ancient.png; assam-weapon-ganda-kavach-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,northeast,megha-maata,Megha-Maata — The Mother of Clouds,Meghanadi,Megha-Daitya,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/megha-maata/stories/the-serpent-and-the-root-bridge/story.md,audio/kannada/chapter-1-rise-of-legends__megha-maata__the-serpent-and-the-root-bridge.kn.mp3,audio/chapter-1-rise-of-legends__megha-maata__the-serpent-and-the-root-bridge.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/megha-maata,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/megha-maata/stories,1,the-serpent-and-the-root-bridge,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/megha-maata/media/tattoo,4,meghalaya-tattoo-stage-1-footprint.png; meghalaya-tattoo-stage-2-leg.png; meghalaya-tattoo-stage-3-half-body.png; meghalaya-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/megha-maata/media/emblem,2,meghalaya-megha-maata-emblem.png; ri-bhoi-royal-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/megha-maata/media/kingdoms,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/megha-maata/media/portraits,1,ri-bhoi-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/megha-maata/media/vehicles,2,meghalaya-vehicle-megha-shardula-ancient.png; meghalaya-vehicle-megha-vahana-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/megha-maata/media/weapons,2,meghalaya-weapon-megha-jaal-mk-ii-modern.png; meghalaya-weapon-megha-nakha-ancient.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,northeast,sangai-nata,Sangai-Nata — The Dance of the Floating Deer,Moirangthem,Tamasa-Nrita,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/sangai-nata/stories/the-last-dance-of-the-sangai/story.md,audio/kannada/chapter-1-rise-of-legends__sangai-nata__the-last-dance-of-the-sangai.kn.mp3,audio/chapter-1-rise-of-legends__sangai-nata__the-last-dance-of-the-sangai.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/sangai-nata,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/sangai-nata/stories,1,the-last-dance-of-the-sangai,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/sangai-nata/media/tattoo,4,manipur-tattoo-stage-1-footprint.png; manipur-tattoo-stage-2-leg.png; manipur-tattoo-stage-3-half-body.png; manipur-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/sangai-nata/media/emblem,2,kangleipak-royal-emblem.png; manipur-sangai-nata-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/sangai-nata/media/kingdoms,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/sangai-nata/media/portraits,1,kangleipak-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/sangai-nata/media/vehicles,2,manipur-vehicle-sangai-vahana-ancient.png; manipur-vehicle-sangai-vega-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/sangai-nata/media/weapons,2,manipur-weapon-sangai-nata-mk-ii-modern.png; manipur-weapon-thang-phurit-ancient.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,northeast,tlawmngaihna-desh,Tlawmngaihna-Desh — The Land of Self-Sacrifice,Tlangvala,Parvata-Asura,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tlawmngaihna-desh/stories/the-man-who-could-not-refuse/story.md,audio/kannada/chapter-1-rise-of-legends__tlawmngaihna-desh__the-man-who-could-not-refuse.kn.mp3,audio/chapter-1-rise-of-legends__tlawmngaihna-desh__the-man-who-could-not-refuse.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tlawmngaihna-desh,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tlawmngaihna-desh/stories,1,the-man-who-could-not-refuse,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tlawmngaihna-desh/media/tattoo,4,mizoram-tattoo-stage-1-footprint.png; mizoram-tattoo-stage-2-leg.png; mizoram-tattoo-stage-3-half-body.png; mizoram-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tlawmngaihna-desh/media/emblem,2,mizoram-tlawmngaihna-desh-emblem.png; tlang-ram-royal-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tlawmngaihna-desh/media/kingdoms,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tlawmngaihna-desh/media/portraits,1,tlang-ram-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tlawmngaihna-desh/media/vehicles,2,mizoram-vehicle-hnam-vahana-ancient.png; mizoram-vehicle-hnam-vahana-mk-ii-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tlawmngaihna-desh/media/weapons,2,mizoram-weapon-tlang-vega-mk-ii-modern.png; mizoram-weapon-tlawmngaihna-danda-ancient.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,northeast,tri-pura,Tri-Pura — The Triple Fortress,Tripurari,Tripura-Asura,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tri-pura/stories/the-engineer-and-the-flying-cities/story.md,audio/kannada/chapter-1-rise-of-legends__tri-pura__the-engineer-and-the-flying-cities.kn.mp3,audio/chapter-1-rise-of-legends__tri-pura__the-engineer-and-the-flying-cities.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tri-pura,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tri-pura/stories,1,the-engineer-and-the-flying-cities,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tri-pura/media/tattoo,4,tripura-tattoo-stage-1-footprint.png; tripura-tattoo-stage-2-leg.png; tripura-tattoo-stage-3-half-body.png; tripura-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tri-pura/media/emblem,2,tripura-tri-pura-emblem.png; tripuri-kendra-royal-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tri-pura/media/kingdoms,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tri-pura/media/portraits,1,tripuri-kendra-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tri-pura/media/vehicles,2,tripura-vehicle-tri-ratha-the-three-cities-ancient.png; tripura-vehicle-tri-vahana-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/northeast/tri-pura/media/weapons,2,tripura-weapon-tri-shakti-ancient.png; tripura-weapon-tri-vega-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,south,chaya-golkonda,Chaya-Golkonda — The Shadow Fortress,Chittaranga,Chitrabheda,The-War-of-Mirrors-Kannada.pdf,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/south/chaya-golkonda/stories/the-war-of-mirrors/story.md,audio/kannada/chapter-1-rise-of-legends__chaya-golkonda__the-war-of-mirrors.kn.mp3,audio/chapter-1-rise-of-legends__chaya-golkonda__the-war-of-mirrors.m4a,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/south/chaya-golkonda/media/kingdoms,01-chaya-golkonda_hero_chittaranga.png,01-chaya-golkonda_villain_qutb_chaaya_shadow_sultan.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/south/chaya-golkonda,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/south/chaya-golkonda/stories,1,the-war-of-mirrors,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/south/chaya-golkonda/media/tattoo,4,telangana-tattoo-stage-1-footprint.png; telangana-tattoo-stage-2-leg.png; telangana-tattoo-stage-3-half-body.png; telangana-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/south/chaya-golkonda/media/emblem,2,chaya-golkonda-royal-emblem.png; telangana-chaya-golkonda-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/south/chaya-golkonda/media/kingdoms,20,01-chaya-golkonda_ally_darpana_devi_mirror_maiden.png; 01-chaya-golkonda_ally_nakkal_singh_mimic.png; 01-chaya-golkonda_ally_unspotted_sister_seer.png; 01-chaya-golkonda_animal_chital_spotted_deer.png; 01-chaya-golkonda_animal_palapitta_indian_roller.png; 01-chaya-golkonda_crowd_golkonda_people.png; 01-chaya-golkonda_environment_golkonda_fortress_city.png; 01-chaya-golkonda_environment_mirror_maze_city.png; 01-chaya-golkonda_environment_mirror_vaults_hall_of_diamonds.png; 01-chaya-golkonda_environment_warangal_flame_chamber.png; 01-chaya-golkonda_hero_chittaranga.png; 01-chaya-golkonda_hero_chittaranga__final_form.png; 01-chaya-golkonda_scene_scene_dawn_through_broken_mirrors.png; 01-chaya-golkonda_scene_scene_fifty_in_the_mirrors.png; 01-chaya-golkonda_scene_scene_lights_out_blind_duel.png; 01-chaya-golkonda_villain_qutb_chaaya_shadow_sultan.png; 01-chaya-golkonda_villain_qutb_chaaya_shadow_sultan__defeated.png; 01-chaya-golkonda_villain_qutb_chaaya_shadow_sultan__fifty_copies.png; 01-chaya-golkonda_weapon_aaina_e_maut_mirror_of_death.png; 01-chaya-golkonda_weapon_chitra_and_ranga_discs.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/south/chaya-golkonda/media/portraits,2,chaya-golkonda-hero-portrait.png; telangana-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/south/chaya-golkonda/media/vehicles,2,telangana-vehicle-chaya-vega-mk-ii-modern.png; telangana-vehicle-chitra-vahana-ancient.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/south/chaya-golkonda/media/weapons,2,telangana-weapon-chitra-ai-and-ranga-ai-modern.png; telangana-weapon-chitra-and-ranga-ancient.png
